Item ID,Name,Purchase Link,Image_url,Image_file,Date Last Purchased,Category,Vendor,Makerspace_quantity,Backroom_quantity,Location,Alert
Pencils_1,No. 2 Pencils,"School Smart Hexagonal No. 2 Pencil with Latex-Free Eraser, Pack of 144",https://www.schoolspecialty.com/wcsstore/SSIB2BStorefrontAssetStore/images/products/084808.jpg,,3/22/2023,MISC,DOE,1,0,,0
PermenantMarker_Black,"Permanent Marker, 1 mm Fine Tip, Black","School Smart Non-Toxic Quick-Drying Water Resistant Permanent Marker, 1 mm Fine Tip, Black, Pack of 12",https://images.schoolspecialty.com/images/085026_D_ecommthumbnail.jpg,,3/22/2023,MISC,DOE,1,0,,0
PermenantMarker_Silver,Permanent Marker - Silver,"Sanford Sharpie Permanent Markers, Fine Tip, Silver Metallic Ink, 12/Pk",http://www.staples-3p.com/s7/is/image/Staples/s0064029_sc7.jpg,,3/22/2023,CM,DOE,12,0,,0
Plaster_1,"Non-Toxic Modeling Plaster, 5 lb","Pacon Plastrcraft High Quality Non-Toxic Modeling Plaster, 5 lb",https://images.schoolspecialty.com/images/399398_ecommthumbnail.jpg,,3/22/2023,SC,DOE,1,0,,0
PopsicleStick_Natural,"Craft Stick, 4-1/2 X 3/8 X 1/2 in, Natural","Creativity Street Wood Economy Non-Toxic Craft Stick, 4-1/2 X 3/8 X 1/2 in, Natural, Pack of 1000",https://images.schoolspecialty.com/images/1006319_ecommthumbnail.jpg,,12/30/2022,WD,DOE,0,0,,0
Protractor_1,Protractor,"Helix Plastic Compass & Protractor Set, Assorted Colors",https://images.schoolspecialty.com/images/1534822_ecommthumbnail.jpg,,12/30/2022,MISC,DOE,2,0,,0
RailroadBoard_Black,"Railroad Board, 22 X 28 in, 4-Ply Thickness, Black","School Smart Railroad Board, 22 X 28 in, 4-Ply Thickness, Black, Pack of 25",https://images.schoolspecialty.com/images/1485728_ecommthumbnail.jpg,,12/30/2022,MISC,DOE,0,0,,0
RailroadBoard_Green,"Railroad Board, 22 X 28 in, 4-Ply Thickness, Green","School Smart Railroad Board, 22 X 28 in, 4-Ply Thickness, Green, Pack of 25",https://images.schoolspecialty.com/images/1485737_ecommthumbnail.jpg,,12/30/2022,MISC,DOE,0,0,,0
RigidDrill#1,Rigid Drill,,,Items_Images/RigidDrill-1.Image.143252.jpg,2/26/2017,TLS,AMZ,2,0,,0
RollingPin_1,"Rolling Pin, 7-1/2 in","Creativity Street Real Action Rolling Pin, 7-1/2 in, Plastic, Pack of 12",https://images.schoolspecialty.com/images/1400394_ecommthumbnail.jpg,,3/22/2023,SC,DOE,2,0,,0
Ruller_1,"Westcott 6"" Shatterproof Standard Ruler (45016)","Westcott 6"" Shatterproof Standard Ruler (45016)",http://www.staples-3p.com/s7/is/image/Staples/sp137198457_sc7.jpg,,11/30/2022,MISC,DOE,1,0,,0
RyobiDrill#1_P210,Ryobi drill,,,Items_Images/RyobiDrill-1_P210.Image.144139.jpg,,TLS,AMZ,0,0,,0
RyobiNailGun#1_P322,Ryobi Nail Gun,,,Items_Images/RyobiNailGun-1_P322.Image.144346.jpg,,TLS,HD,1,0,,0
RyobiRouter_R163G,Ryobi Router,,,Items_Images/RyobiRouter_R163G.Image.123626.jpg,3/27/2020,TLS,HD,1,0,,0
Scissors_1,Scissors,"Scotch Multi-Purpose Scissors, 8 in, Straight, Red",https://images.schoolspecialty.com/images/1532800_ecommthumbnail.jpg,,10/31/2022,MISC,DOE,0,0,,0
Scraper_1,Flexible Scraper,"Jack Richeson Half Moon Oval Smooth Flexible Scraper, 2 X 4 in, Steel",https://images.schoolspecialty.com/images/457358_ecommthumbnail.jpg,,3/22/2023,SC,DOE,1,0,,0
Sharpie_1,"Sharpie Chisel Tip, Black","Sharpie Water Resistant Alcohol-Based Permanent Marker, Chisel Tip, Black, Pack of 12",https://images.schoolspecialty.com/images/067111_ecommthumbnail.jpg,,3/22/2023,CM,DOE,24,0,,0
Styfrofoam_Ball,"Styrofoam Ball, 2 Inches, White, Pack of 11","School Specialty FloraCraft Styrofoam Ball, 2 Inches, White, Pack of 12",https://images.schoolspecialty.com/images/247040_ecommthumbnail.jpg,,11/30/2022,FM,DOE,0,0,,0
